,start_timestamp,frame,actual_timestamp,area,probability
5855,1573503859,622,1573503900,216614,0.9713281989097595
5862,1573914253,450,1573914283,319800,0.8405289053916931
5881,1573916495,432,1573916523,375326,0.9046427011489868
5884,1573916495,438,1573916524,386682,0.849028468132019
5892,1573917875,64,1573917879,65205,0.7184734344482422
5900,1573162590,750,1573162640,142128,0.8102260231971741
5906,1573162590,1026,1573162658,136728,0.7003531455993652
5910,1573314380,408,1573314407,131886,0.9750214219093323
5917,1573314380,700,1573314426,112420,0.7653916478157043
5929,1573314380,916,1573314441,298452,0.9996445775032043
5939,1573314380,1338,1573314469,152418,0.9897527694702148
5956,1573908858,614,1573908898,275781,0.9944317936897278
5964,1573908858,876,1573908916,274659,0.9843748807907104
5967,1573908858,968,1573908922,98040,0.9045019745826721
5992,1573313002,202,1573313015,293022,0.9148169159889221
6003,1573313002,1238,1573313084,301716,0.9815449714660645
6013,1573502820,810,1573502874,144704,0.989935040473938
6018,1573496059,390,1573496085,99372,0.9653826951980591
6023,1573496430,80,1573496435,100252,0.989950954914093
6029,1573497897,868,1573497954,304624,0.9998354911804199
6041,1573497897,1510,1573497997,170910,0.9886105060577393
6051,1573312325,118,1573312332,191608,0.9919889569282532
6060,1574426837,76,1574426842,175960,0.9335171580314636
6076,1574426837,776,1574426888,129465,0.9939581751823425
6088,1573495775,548,1573495811,317768,0.9966678619384766
6114,1574424343,84,1574424348,88608,0.796074628829956
6119,1573492617,296,1573492636,144144,0.9120974540710449
6130,1573489820,166,1573489831,120640,0.9865032434463501
6141,1573489820,304,1573489840,291114,0.9975336194038391
6161,1573490089,222,1573490103,361673,0.9990472793579102
6189,1573932774,82,1573932779,308555,0.8493744134902954
6200,1573932774,366,1573932798,90900,0.9837712049484253
6208,1573932774,632,1573932816,144495,0.9580575227737427
6219,1573308149,58,1573308152,105780,0.9461177587509155
6225,1573308149,726,1573308197,307992,0.7689667344093323
6232,1573308746,542,1573308782,183941,0.9954392313957214
6243,1573489107,344,1573489129,203984,0.9945257306098938
6251,1573821213,82,1573821218,56637,0.8680144548416138
6256,1573821213,172,1573821224,88200,0.9469215273857117
6266,1573486045,142,1573486054,298816,0.9982102513313293
6279,1573486045,438,1573486074,175851,0.9800455570220947
6289,1573486045,1402,1573486138,61479,0.8280130624771118
6293,1573488089,50,1573488092,124928,0.9631150960922241
6307,1573488089,458,1573488119,206839,0.9871394038200378
6315,1573488089,1266,1573488173,248878,0.999100923538208
